Data;Entrada 1;Saida 1;Entrada 2;Saida 2;Entrada 3;Saida 3;Entrada 4;Saida 4;Entrada 5;Saida 5;Entrada 6;Saida 6
01/10/2016;00:00;00:00;;;;;;;;;;
02/10/2016;00:00;00:00;;;;;;;;;;
04/10/2016;08:03;11:58;13:17;18:06;;;;;;;;
05/10/2016;08:42;12:22;13:30;18:34;;;;;;;;
06/10/2016;09:08;11:59;13:04;18:32;;;;;;;;
07/10/2016;08:58;12:16;13:49;19:18;;;;;;;;
08/10/2016;00:00;00:00;;;;;;;;;;
09/10/2016;00:00;00:00;;;;;;;;;;
10/10/2016;00:00;00:00;;;;;;;;;;
11/10/2016;00:00;00:00;;;;;;;;;;
12/10/2016;00:00;00:00;;;;;;;;;;
13/10/2016;00:00;00:00;;;;;;;;;;
14/10/2016;00:00;00:00;;;;;;;;;;
15/10/2016;00:00;00:00;;;;;;;;;;
16/10/2016;00:00;00:00;;;;;;;;;;
17/10/2016;00:00;00:00;;;;;;;;;;
18/10/2016;00:00;00:00;;;;;;;;;;
19/10/2016;00:00;00:00;;;;;;;;;;
20/10/2016;00:00;00:00;;;;;;;;;;
21/10/2016;00:00;00:00;;;;;;;;;;
22/10/2016;00:00;00:00;;;;;;;;;;
23/10/2016;00:00;00:00;;;;;;;;;;
24/10/2016;00:00;00:00;;;;;;;;;;
25/10/2016;00:00;00:00;;;;;;;;;;
26/10/2016;00:00;00:00;;;;;;;;;;
27/10/2016;00:00;00:00;;;;;;;;;;
28/10/2016;00:00;00:00;;;;;;;;;;
29/10/2016;00:00;00:00;;;;;;;;;;
30/10/2016;00:00;00:00;;;;;;;;;;
31/10/2016;08:03;12:10;13:11;17:57;;;;;;;;
01/11/2016;08:02;11:56;13:00;17:11;;;;;;;;
02/11/2016;00:00;00:00;;;;;;;;;;
03/11/2016;09:02;12:33;13:56;19:07;;;;;;;;
04/11/2016;09:00;12:12;13:18;19:00;;;;;;;;
05/11/2016;00:00;00:00;;;;;;;;;;
06/11/2016;00:00;00:00;;;;;;;;;;
07/11/2016;09:00;12:00;13:00;18:00;;;;;;;;
08/11/2016;09:08;13:27;14:32;18:29;;;;;;;;
09/11/2016;08:56;14:00;15:09;18:16;;;;;;;;
10/11/2016;09:44;13:37;14:54;19:21;;;;;;;;
11/11/2016;08:26;13:28;14:28;17:28;;;;;;;;
12/11/2016;00:00;00:00;;;;;;;;;;
13/11/2016;00:00;00:00;;;;;;;;;;
14/11/2016;09:02;13:54;14:58;18:08;;;;;;;;
15/11/2016;00:00;00:00;;;;;;;;;;
16/11/2016;08:12;13:16;14:20;17:39;;;;;;;;
17/11/2016;08:24;13:29;14:34;17:42;;;;;;;;
18/11/2016;08:19;12:45;13:45;18:02;;;;;;;;
19/11/2016;00:00;00:00;;;;;;;;;;
20/11/2016;00:00;00:00;;;;;;;;;;
22/11/2016;08:43;12:55;13:54;18:22;;;;;;;;
23/11/2016;07:20;11:51;12:56;16:25;;;;;;;;
24/11/2016;00:00;00:00;;;;;;;;;;
25/11/2016;00:00;00:00;;;;;;;;;;
26/11/2016;00:00;00:00;;;;;;;;;;
27/11/2016;00:00;00:00;;;;;;;;;;
28/11/2016;07:11;12:25;13:25;16:30;;;;;;;;
29/11/2016;08:31;12:27;13:32;17:40;;;;;;;;
30/11/2016;08:10;12:06;13:10;17:18;;;;;;;;
01/12/2016;07:52;12:17;13:48;17:41;;;;;;;;
03/12/2016;00:00;00:00;;;;;;;;;;
04/12/2016;00:00;00:00;;;;;;;;;;
05/12/2016;07:18;12:01;13:01;16:21;;;;;;;;
06/12/2016;08:33;12:09;13:35;18:23;;;;;;;;
07/12/2016;10:21;12:31;13:38;19:31;;;;;;;;
08/12/2016;08:13;12:25;13:27;17:18;;;;;;;;
10/12/2016;00:00;00:00;;;;;;;;;;
11/12/2016;00:00;00:00;;;;;;;;;;
12/12/2016;07:47;12:25;13:25;16:56;;;;;;;;
13/12/2016;07:51;12:23;13:30;17:00;;;;;;;;
14/12/2016;07:43;12:05;13:19;17:02;;;;;;;;
15/12/2016;08:04;12:12;13:13;17:07;;;;;;;;
16/12/2016;08:10;13:27;14:27;17:14;;;;;;;;
17/12/2016;00:00;00:00;;;;;;;;;;
18/12/2016;00:00;00:00;;;;;;;;;;
19/12/2016;07:10;12:03;13:03;16:11;;;;;;;;
20/12/2016;08:12;12:47;13:47;17:13;;;;;;;;
21/12/2016;07:59;12:34;13:33;17:19;;;;;;;;
22/12/2016;08:22;12:30;13:30;17:30;;;;;;;;
23/12/2016;08:16;14:00;15:00;16:43;;;;;;;;
24/12/2016;00:00;00:00;;;;;;;;;;
25/12/2016;00:00;00:00;;;;;;;;;;
26/12/2016;08:22;12:15;13:15;17:36;;;;;;;;
27/12/2016;08:20;12:16;13:20;17:32;;;;;;;;
28/12/2016;08:54;13:54;14:51;18:09;;;;;;;;
29/12/2016;08:05;12:39;13:39;17:13;;;;;;;;
30/12/2016;00:00;00:00;;;;;;;;;;
31/12/2016;00:00;00:00;;;;;;;;;;
01/01/2017;00:00;00:00;;;;;;;;;;
02/01/2017;08:30;12:10;13:11;17:41;;;;;;;;
03/01/2017;08:29;12:08;13:08;17:37;;;;;;;;
04/01/2017;08:23;13:02;13:58;17:37;;;;;;;;
05/01/2017;08:41;12:44;13:37;18:21;;;;;;;;
07/01/2017;00:00;00:00;;;;;;;;;;
08/01/2017;00:00;00:00;;;;;;;;;;
09/01/2017;07:49;12:03;13:05;17:17;;;;;;;;
10/01/2017;08:23;12:33;13:27;17:41;;;;;;;;
11/01/2017;08:59;12:52;13:52;18:29;;;;;;;;
12/01/2017;08:19;12:47;14:15;18:43;;;;;;;;
13/01/2017;09:16;12:52;14:18;18:41;;;;;;;;
